What was the research and development spending trend for Google in 2024
Response: 197135000000.0

<begin data tables>

## income_stmt
| Date | Research And Development |
| --- | --- |
| 2020-12-31 |  |
| 2021-12-31 | 31.56B |
| 2022-12-31 | 39.50B |
| 2023-12-31 | 45.43B |
| 2024-12-31 | 49.33B |

## quarterly_income_stmt
| Date | Research And Development |
| --- | --- |
| 2024-03-31 | 11.90B |
| 2024-06-30 | 11.86B |
| 2024-09-30 | 12.45B |
| 2024-12-31 | 13.12B |
| 2025-03-31 | 13.56B |

<end data tables>
